0.767,0.616,0.715
0.809,0.752,0.725
0.521,0.268,0.477
0.774,0.643,0.687
0.343,0.429,0.310
0.717,0.560,0.676
0.360,0.634,0.706
0.542,0.384,0.472
0.962,0.258,0.614
0.557,0.379,0.388
0.479,0.623,0.546
0.627,0.743,0.600
0.684,0.293,0.552
0.490,0.476,0.512
0.563,0.502,0.746
0.625,0.754,0.807
0.526,0.644,0.565
0.554,0.684,0.624
0.755,0.839,0.836
0.387,0.624,0.603
0.570,0.656,0.555
0.541,0.644,0.626
0.457,0.594,0.560
0.528,0.460,0.381
0.633,0.373,0.580
0.608,0.594,0.629
0.066,0.946,0.677
0.364,0.620,0.662
0.552,0.405,0.388
0.850,0.577,0.800
0.605,0.345,0.461
0.714,0.416,0.588
0.589,0.528,0.717
0.509,0.726,0.615
0.972,0.552,0.647
0.715,0.537,0.636
0.560,0.407,0.545
0.565,0.530,0.524
0.709,0.651,0.905
0.495,0.823,0.682
0.181,0.371,0.362
0.515,0.774,0.634
0.448,0.411,0.458
0.500,0.428,0.503
0.223,0.659,0.560
0.297,0.233,0.404
0.297,0.628,0.376
0.400,0.402,0.445
0.651,0.682,0.670
0.928,0.393,0.447
0.535,0.688,0.578
0.960,0.361,0.587
0.400,0.584,0.512
0.408,0.371,0.397
0.435,0.550,0.480
0.281,0.355,0.488
0.520,0.524,0.542
0.208,0.668,0.564
0.584,0.400,0.472
0.585,0.148,0.377
0.524,0.454,0.484
0.693,0.411,0.647
0.272,0.478,0.438
0.347,0.420,0.446
0.594,0.617,0.612
0.912,0.461,0.730
0.558,0.671,0.726
0.571,0.726,0.607
0.392,0.537,0.550
0.413,0.421,0.430
0.457,0.568,0.660
0.608,0.507,0.643
0.317,0.498,0.432
0.606,0.447,0.645
0.614,0.428,0.624
0.139,0.545,0.207
0.397,0.814,0.608
0.378,0.728,0.498
0.669,0.562,0.634
0.406,0.325,0.677
0.497,0.313,0.307
0.427,0.550,0.504
0.543,0.559,0.652
0.723,0.228,0.462
0.536,0.725,0.491
0.819,0.418,0.556
0.323,0.621,0.417
0.733,0.419,0.598
0.496,0.555,0.458
0.396,0.597,0.448
0.534,0.706,0.555
0.589,0.736,0.743
0.690,0.614,0.706
0.510,0.757,0.599
0.171,0.403,0.310
0.974,0.877,0.863
0.358,0.914,0.817
0.232,0.407,0.363
0.288,0.697,0.574
0.637,0.327,0.587
0.322,0.363,0.442
0.923,0.578,0.638
0.779,0.000,0.323
0.660,0.242,0.583
0.725,0.353,0.545
0.544,0.678,0.712
0.742,0.195,0.506
0.464,0.561,0.515
0.209,0.794,0.490
0.673,0.464,0.601
0.299,0.684,0.361
0.298,0.196,0.245
0.553,0.463,0.614
0.588,0.713,0.614
0.766,0.318,0.484
0.411,0.339,0.306
0.518,0.516,0.540
0.540,0.324,0.443
0.328,0.904,0.660
0.852,0.429,0.867
0.712,0.399,0.670
0.847,0.726,0.844
0.436,0.894,0.766
0.675,0.737,0.732
0.588,0.801,0.822
0.598,0.297,0.372
0.571,0.462,0.681
0.505,0.556,0.490
0.232,0.497,0.290
0.652,0.434,0.640
0.200,0.449,0.340
0.075,0.675,0.398
0.524,0.212,0.395
0.698,0.559,0.704
0.718,0.342,0.538
0.453,0.135,0.418
0.328,0.489,0.372
0.408,0.906,0.659
0.570,0.541,0.590
0.590,0.740,0.729
0.321,0.400,0.328
0.617,0.809,0.723
0.445,0.580,0.387
0.738,0.475,0.632
0.798,0.392,0.671
0.383,0.455,0.484
0.564,0.244,0.380
0.713,0.805,0.972
0.927,0.125,0.535
0.320,0.836,0.708
0.434,0.800,0.656
0.518,0.389,0.556
0.421,0.485,0.479
0.550,0.381,0.453
0.665,0.538,0.533
0.473,0.313,0.532
0.552,0.542,0.440
0.801,0.789,0.968
0.664,0.344,0.483
0.359,0.504,0.659
0.511,0.626,0.536
0.560,0.452,0.342
0.664,0.715,0.705
0.533,0.820,0.619
0.347,0.769,0.657
0.539,0.666,0.538
0.755,0.842,0.704
0.310,0.545,0.627
0.222,0.696,0.738
0.651,0.223,0.517
0.617,0.456,0.457
0.592,0.476,0.568
0.382,0.519,0.494
0.606,0.445,0.646
0.674,0.351,0.532
0.212,0.694,0.620
0.256,0.160,0.212
0.680,0.461,0.542
0.213,0.534,0.559
0.252,0.515,0.477
0.380,0.716,0.568
0.825,0.827,0.786
0.702,0.446,0.614
0.633,0.782,0.839
0.690,0.751,0.753
0.338,0.427,0.272
0.596,0.521,0.531
0.486,0.183,0.386
